Topic,Presenting,Class,Mode,Designed,Description,Filename,Exercise,Calendar Date,URL
e-setup00-install,,,,checked,,e-setup00-install,checked,9/7/2020,
e-rep01-intro-git,,,,checked,,e-rep01-intro-git,checked,9/7/2020,
e-rep00-setup,,,,checked,,e-rep00-setup,checked,9/7/2020,
e-rep03-track,,,,checked,,e-rep03-track,checked,9/8/2020,
e-setup02-functions,,,,checked,,e-setup02-functions,checked,9/8/2020,
e-setup01-packages,,,,checked,,e-setup01-packages,checked,9/8/2020,
e-rep02-create,,,,checked,,e-rep02-create,checked,9/8/2020,
e-data00-basics,,,,checked,,e-data00-basics,checked,9/9/2020,
e-setup03-docs,,,,checked,,e-setup03-docs,checked,9/9/2020,
e-comm00-style,,,,checked,,e-comm00-style,checked,9/10/2020,
e-setup04-rstudio-shortcuts,,,,checked,,e-setup04-rstudio-shortcuts,checked,9/10/2020,
e-setup06-types,,,,checked,,e-setup06-types,checked,9/11/2020,
e-setup05-vectors,,,,checked,,e-setup05-vectors,checked,9/11/2020,
e-vis00-basics,,,,checked,,e-vis00-basics,checked,9/14/2020,
e-comm01-responding,,,,checked,,e-comm01-responding,checked,9/15/2020,
e-stat00-eda-basics,,,,checked,,e-stat00-eda-basics,checked,9/16/2020,
e-data01-isolate,,,,checked,,e-data01-isolate,checked,9/17/2020,
e-vis01-bar-charts,,,,checked,,e-vis01-bar-charts,checked,9/18/2020,
e-data02-derive,,,,checked,,e-data02-derive,checked,9/21/2020,
e-vis02-histograms,,,,checked,,e-vis02-histograms,checked,9/22/2020,
e-rep04-directories,,,,checked,,e-rep04-directories,checked,9/23/2020,
e-stat01-densities,,,,checked,,e-stat01-densities,checked,9/24/2020,
e-data03-pivot-basics,,,,checked,,e-data03-pivot-basics,checked,9/25/2020,
e-rep05-collab,,,,checked,,e-rep05-collab,checked,9/28/2020,
e-vis03-boxplots,,,,checked,,e-vis03-boxplots,checked,9/29/2020,
e-stat02-probability,,,,checked,,e-stat02-probability,checked,9/30/2020,
e-data04-separate-unite,,,,checked,,e-data04-separate-unite,checked,10/1/2020,
e-vis04-scatterplot,,,,checked,,e-vis04-scatterplot,checked,10/2/2020,
e-stat03-descriptive,,,,checked,,e-stat03-descriptive,checked,10/5/2020,
e-data05-join,,,,checked,,e-data05-join,checked,10/6/2020,
e-vis05-lines,,,,checked,,e-vis05-lines,checked,10/7/2020,
e-comm02-story-basics,,,,checked,,e-comm02-story-basics,checked,10/8/2020,
e-data06-strings,,,,checked,,e-data06-strings,checked,10/9/2020,
e-vis06-themes,,,,checked,,e-vis06-themes,checked,10/14/2020,
e-data07-placeholders,,,,checked,,e-data07-placeholders,checked,10/26/2020,
e-stat04-population,,,,checked,,e-stat04-population,checked,10/27/2020,
e-stat05-moment,,,,checked,,e-stat05-moment,checked,10/28/2020,
e-data08-window,,,,checked,,e-data08-window,checked,10/28/2020,
e-stat06-clt,,,,checked,,e-stat06-clt,checked,10/29/2020,
e-stat07-error-bias,,,,checked,,e-stat07-error-bias,checked,10/30/2020,
e-data09-readxl,,,,checked,,e-data09-readxl,checked,10/30/2020,
e-data10-map,,,,checked,,e-data10-map,checked,11/2/2020,
e-stat08-fit-dist,,,,checked,,e-stat08-fit-dist,checked,11/3/2020,
e-data11-factors,,,,checked,,e-data11-factors,checked,11/3/2020,
e-vis07-perception,,,,checked,,e-vis07-perception,checked,11/4/2020,
e-stat09-bootstrap,,,,checked,,e-stat09-bootstrap,checked,11/5/2020,
e-data12-simple-pipeline,,,,checked,,e-data12-simple-pipeline,checked,11/6/2020,
e-vis08-multiples,,,,checked,,e-vis08-multiples,checked,11/6/2020,
e-stat10-hyp-intro,,,,checked,,e-stat10-hyp-intro,checked,11/9/2020,
e-stat11-ci-pi,,,,checked,,e-stat11-ci-pi,checked,11/10/2020,
e-model01-intro,,,,checked,,e-model01-intro,checked,11/11/2020,
e-vis09-improve,,,,checked,,e-vis09-improve,checked,11/12/2020,
e-model02-train-validate,,,,checked,,e-model02-train-validate,checked,11/13/2020,
e-data13-cleaning,,,,checked,,e-data13-cleaning,checked,11/16/2020,
e-model03-interp-warnings,,,,checked,,e-model03-interp-warnings,checked,11/17/2020,
e-data14-webplotdigitizer,,,,checked,,e-data14-webplotdigitizer,checked,11/18/2020,
e-model04-logistic,,,,checked,,e-model04-logistic,checked,11/19/2020,
e-data15-tabula,,,,checked,,e-data15-tabula,checked,11/20/2020,
e-model05-roc,,,,checked,,e-model05-roc,checked,11/23/2020,
